Orange,947,1073,1443,587,415,1703,921,1273,610,1392,944,1048,860,2451,2224,1109,1889,1413,1206,1220,879,1526,579,1208,2421,467,1627,1497,1964,1132
Rowe,67,105,100,73,61,112,75,110,71,95,92,79,50,207,158,100,169,85,74,100,61,101,74,101,195,33,144,87,150,81
Shelburne,204,568,376,415,388,395,346,468,340,447,431,338,191,987,859,322,847,330,228,543,205,599,163,661,853,135,773,326,823,274
Shutesbury,167,704,269,616,559,314,421,523,482,413,628,268,152,1064,1027,195,979,219,186,718,223,640,140,762,1094,92,981,242,1037,186
Sunderland,360,885,601,687,562,710,623,637,502,721,784,451,257,1597,1381,477,1388,459,401,847,557,697,279,1028,1482,191,1151,680,1324,496
Warwick,95,196,166,128,115,183,144,171,118,166,159,126,79,368,298,142,273,160,128,212,120,202,104,234,360,63,278,161,311,123
Wendell,109,263,126,248,209,168,138,271,216,158,284,95,71,487,486,75,441,111,110,309,119,283,105,316,469,53,436,107,468,78
Whately,240,433,405,279,249,428,322,459,282,438,404,319,175,809,663,319,668,306,311,464,260,477,250,517,804,102,597,341,660,271
Agawam,3775,4261,6168,2012,1648,6470,4081,5838,2751,6865,4339,5187,3794,10369,8577,5654,9709,4442,5853,4611,3981,6116,4988,5628,10676,1782,6088,7801,8225,5592
Blandford,206,237,339,107,125,313,268,205,179,265,221,221,224,473,437,254,443,242,298,222,211,282,256,261,538,102,355,298,427,223
Brimfield,659,595,994,277,269,987,669,776,446,913,607,762,618,1404,1335,674,1234,763,897,692,669,839,789,793,1641,310,975,1040,1256,741
Chester,245,204,355,96,121,327,234,225,136,278,201,223,203,500,461,243,431,270,273,219,211,257,231,261,546,96,343,313,398,257
Chicopee,6931,8419,12171,3749,2561,13051,6531,8761,4246,10495,7131,7428,5643,16976,14003,8867,15399,7372,8079,7131,5895,9329,7047,8640,16391,3104,8801,13537,13143,9082
E. Longmeadow,2569,2845,4411,1167,1189,4276,2431,3364,1699,3861,2449,3094,2437,6012,4961,3503,5777,2665,3225,2834,2417,3432,2874,3244,6448,1034,3584,4728,4774,3458
Granville,280,277,420,147,117,441,269,327,178,390,260,293,266,595,572,287,577,276,383,308,302,358,353,331,706,137,455,400,550,294
Hampden,967,1007,1639,388,408,1562,915,1271,617,1417,874,1168,865,2081,1743,1174,2030,877,1027,1133,892,1235,1138,1098,2331,376,1248,1556,1649,1076
Holland,398,278,570,141,140,559,418,390,284,533,387,417,491,812,944,382,811,500,557,346,405,509,519,420,998,168,658,608,840,435
Holyoke,4029,5891,6341,3711,2146,8055,3860,5830,3196,6252,5174,4272,2957,11688,9088,5478,10127,4316,4159,5688,3148,6392,3417,6511,10935,2669,5679,8984,9587,6185
Longmeadow,3069,3729,5219,1793,1970,4909,3053,3775,2147,4457,2767,3748,2688,6721,6134,3341,6894,2503,3102,4024,2430,4377,2748,4460,7114,1068,4666,4507,5642,3536
Ludlow,2750,3146,4415,1746,1122,4959,3030,3597,1830,4424,2882,3391,2640,6950,5801,3837,6201,3347,3651,2991,2679,3821,3279,3533,6852,1262,3602,5640,5136,3985
Monson,1001,1243,1697,636,519,1781,1112,1804,848,1900,1227,1496,1189,3217,2950,1430,2851,1509,1652,1423,1185,1752,1426,1649,3053,408,2121,2054,2754,1427
Montgomery,154,163,238,76,69,242,172,186,111,231,146,195,146,364,344,166,348,160,234,168,193,189,212,191,417,66,275,222,327,169
Palmer,1451,1643,2796,973,677,3306,1795,2327,1107,2788,1696,2192,1488,4341,3633,2160,3611,2107,2204,1934,1588,2359,1906,2246,4222,614,2315,3116,3274,2150
Russell,125,373,221,271,397,104,251,296,157,344,249,259,197,614,527,281,524,274,328,250,243,310,310,269,651,106,406,382,502,260
Southwick,1528,1313,2384,589,513,2242,1396,1761,902,2060,1272,1656,1591,3192,3038,1766,3204,1562,1933,1496,1425,1849,1814,1622,3835,594,2262,2460,2816,1881
Springfield,12911,17258,19166,11571,6029,23643,13308,16825,10233,19386,17133,12046,12259,37128,31305,15999,32266,14413,12320,16839,9964,18884,11532,18415,38050,9865,16944,32095,32978,20908
Tolland,84,54,101,39,33,107,80,78,99,77,50,107,112,162,177,95,168,105,125,81,82,117,112,94,229,36,152,117,178,90
Wales,286,254,442,112,129,422,331,312,197,441,260,381,317,685,741,269,586,419,379,312,254,419,384,318,730,96,511,391,622,281
W. Springfield,3109,3915,5106,1961,1708,5306,3290,4665,2260,5551,3641,4123,3120,8778,7298,4735,8254,3670,4459,3936,3128,4977,3796,4698,8354,1458,4516,6532,6142,4611
Westfield,5502,6385,8935,3587,2253,9485,4853,6482,3295,7391,5115,5585,4293,12972,10636,6674,11878,5325,6625,5588,4956,6837,5862,6472,13298,2159,7718,9609,10236,7017
Wilbraham,2601,2742,4616,1275,1388,4423,3023,3182,1802,4123,2361,3544,2522,5808,4950,3438,5838,2517,3395,2795,2540,3537,3092,3274,6241,973,3333,4519,4362,3465
Amherst,1351,6150,2490,5341,4732,2931,3467,4447,3605,3749,5218,2211,1281,11178,10357,2230,9557,2789,1385,6354,1619,5792,989,6808,12410,1336,10823,4083,12391,2540
Belchertown,1535,2415,2664,1461,1241,2836,2493,2366,1732,2873,2467,2153,1661,5957,5086,2525,5284,2225,2493,2860,1916,3182,2064,3297,5818,716,3950,3530,4919,2488
Chesterfield,165,283,284,164,163,274,192,281,171,271,236,209,164,568,537,190,505,216,209,318,163,341,205,319,593,96,468,240,530,172
Cummington,89,250,169,176,167,173,187,194,163,182,219,125,87,450,405,126,395,137,122,292,107,290,109,307,457,50,373,147,401,116
Easthampton,2262,3484,3561,2339,1595,4482,2492,3570,2063,3859,3138,2746,1622,7174,6155,2631,6414,2319,2516,3640,1922,4043,2088,4093,7152,936,4977,3829,6128,2629
Goshen,125,253,206,174,131,240,175,255,161,239,225,179,121,482,412,195,439,167,181,282,133,308,158,306,518,62,376,226,410,188
Granby,773,966,1260,525,540,1248,1128,1399,768,1619,1140,1237,870,2658,2204,1319,2383,1097,1494,1510,1038,1760,1307,1659,2373,317,1681,1768,2114,1281
Hadley,707,1392,1158,892,682,1395,811,1451,776,1302,1089,998,534,2486,2000,1024,2172,830,860,1355,658,1443,619,1601,2416,356,1711,1269,1988,983
Hatfield,623,861,936,567,444,1124,734,895,519,1060,745,825,409,1679,1333,770,1448,636,632,866,470,974,516,997,1586,237,1134,869,1323,675
Huntington,280,410,487,210,197,497,357,376,243,466,365,341,279,857,775,358,719,401,464,368,320,488,383,450,931,126,569,516,721,370
Middlefield,82,118,128,72,83,112,105,106,76,121,111,86,69,229,213,83,203,91,93,143,77,153,77,159,235,46,198,93,209,82
Northampton,2687,7971,4455,6746,5718,5440,4831,6499,5177,5749,7226,3701,2044,13790,12556,3409,12510,3266,2859,8713,2534,8658,2356,9378,11995,1640,11123,4074,12381,2844
Pelham,128,562,250,456,434,263,294,388,321,329,427,232,83,799,709,172,682,181,152,556,163,500,94,610,715,87,635,224,689,169
Plainfield,93,191,135,159,139,156,114,152,131,131,159,95,69,323,298,93,297,88,98,204,79,210,87,212,327,43,267,110,295,79
